"filename", "language", "SCSS", "JavaScript", "JavaScript React", "comment", "blank", "total"
"c:\Users\antho\Desktop\portfolio-website\src\components\About\About.jsx", "JavaScript React", 0, 0, 14, 0, 2, 16
"c:\Users\antho\Desktop\portfolio-website\src\components\About\About.scss", "SCSS", 4, 0, 0, 0, 4, 8
"c:\Users\antho\Desktop\portfolio-website\src\components\BackToTop\BackToTop.jsx", "JavaScript React", 0, 0, 9, 0, 4, 13
"c:\Users\antho\Desktop\portfolio-website\src\components\BackToTop\BackToTop.scss", "SCSS", 0, 0, 0, 0, 2, 2
"c:\Users\antho\Desktop\portfolio-website\src\components\Blog\Blog.jsx", "JavaScript React", 0, 0, 23, 0, 3, 26
"c:\Users\antho\Desktop\portfolio-website\src\components\Blog\Blog.scss", "SCSS", 32, 0, 0, 0, 8, 40
"c:\Users\antho\Desktop\portfolio-website\src\components\Canvas\Canvas.jsx", "JavaScript React", 0, 0, 128, 43, 65, 236
"c:\Users\antho\Desktop\portfolio-website\src\components\Canvas\Canvas.scss", "SCSS", 2, 0, 0, 2, 0, 4
"c:\Users\antho\Desktop\portfolio-website\src\components\Contact\Contact.jsx", "JavaScript React", 0, 0, 8, 0, 2, 10
"c:\Users\antho\Desktop\portfolio-website\src\components\Contact\Contact.scss", "SCSS", 4, 0, 0, 0, 1, 5
"c:\Users\antho\Desktop\portfolio-website\src\components\DarkMode\DarkMode.jsx", "JavaScript React", 0, 0, 34, 2, 15, 51
"c:\Users\antho\Desktop\portfolio-website\src\components\DarkMode\DarkMode.scss", "SCSS", 10, 0, 0, 0, 6, 16
"c:\Users\antho\Desktop\portfolio-website\src\components\Home\Home.jsx", "JavaScript React", 0, 0, 150, 12, 35, 197
"c:\Users\antho\Desktop\portfolio-website\src\components\Home\Home.scss", "SCSS", 199, 0, 0, 4, 35, 238
"c:\Users\antho\Desktop\portfolio-website\src\components\Language\Language.jsx", "JavaScript React", 0, 0, 7, 0, 3, 10
"c:\Users\antho\Desktop\portfolio-website\src\components\Language\Language.scss", "SCSS", 4, 0, 0, 0, 0, 4
"c:\Users\antho\Desktop\portfolio-website\src\components\MenuBar\MenuBar.jsx", "JavaScript React", 0, 0, 7, 0, 3, 10
"c:\Users\antho\Desktop\portfolio-website\src\components\MenuBar\MenuBar.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\antho\Desktop\portfolio-website\src\components\Menu\Menu.jsx", "JavaScript React", 0, 0, 16, 0, 7, 23
"c:\Users\antho\Desktop\portfolio-website\src\components\Menu\Menu.scss", "SCSS", 39, 0, 0, 11, 7, 57
"c:\Users\antho\Desktop\portfolio-website\src\components\NavBar\NavBar.jsx", "JavaScript React", 0, 0, 77, 5, 18, 100
"c:\Users\antho\Desktop\portfolio-website\src\components\NavBar\NavBar.scss", "SCSS", 97, 0, 0, 2, 18, 117
"c:\Users\antho\Desktop\portfolio-website\src\components\Portfolio\Portfolio.jsx", "JavaScript React", 0, 0, 50, 0, 9, 59
"c:\Users\antho\Desktop\portfolio-website\src\components\Portfolio\Portfolio.scss", "SCSS", 67, 0, 0, 0, 10, 77
"c:\Users\antho\Desktop\portfolio-website\src\components\Portfolio\PortfolioList\PortfolioList.jsx", "JavaScript React", 0, 0, 6, 0, 2, 8
"c:\Users\antho\Desktop\portfolio-website\src\components\Portfolio\PortfolioList\PortfolioList.scss", "SCSS", 12, 0, 0, 0, 3, 15
"c:\Users\antho\Desktop\portfolio-website\src\components\Project\Project.jsx", "JavaScript React", 0, 0, 39, 82, 35, 156
"c:\Users\antho\Desktop\portfolio-website\src\components\Project\Project.scss", "SCSS", 66, 0, 0, 5, 15, 86
"c:\Users\antho\Desktop\portfolio-website\src\components\Project\ProjectData.js", "JavaScript", 0, 32, 0, 0, 0, 32
"c:\Users\antho\Desktop\portfolio-website\src\components\Project\ProjectList\ProjectList.jsx", "JavaScript React", 0, 0, 16, 10, 5, 31
"c:\Users\antho\Desktop\portfolio-website\src\components\Project\ProjectList\ProjectList.scss", "SCSS", 1, 0, 0, 0, 3, 4
"c:\Users\antho\Desktop\portfolio-website\src\components\Works\Works.jsx", "JavaScript React", 0, 0, 8, 0, 2, 10
"c:\Users\antho\Desktop\portfolio-website\src\components\Works\Works.scss", "SCSS", 0, 0, 0, 0, 1, 1
"Total", "-", 537, 32, 592, 178, 324, 1663
